seed,feasible,violation,var,mean,pair_penalty
20260120,True,0.0,0.3638349910339969,13.185786809641122,0.0
20260121,True,0.0,0.9325727989028835,12.73732931416412,0.0
20260122,True,0.0,2.905037817842337,10.959037023634682,0.0
20260123,True,0.0,2.201570087890844,11.396294793062882,2.0
20260124,True,0.0,1.0082525958169908,12.597523487482322,0.0
20260125,True,0.0,1.3025161686816813,12.575913089852426,0.0
20260126,True,0.0,1.9341188318783165,11.950840906572743,0.0
20260127,True,0.0,0.5537229402716566,13.038890593045211,0.0
20260128,True,0.0,3.1368784510560443,11.385544893594194,0.0
20260129,True,0.0,2.5259795851540314,11.590414147858203,2.0
