i,feasible,J_norm,J_raw,mean_surplus,var_surplus,cohesion_pen,min_pressure
0,1,4.952619527777069,35.088198882452346,15.240047030339754,1.254553459109466,0.8444444444444446,24.495210128668827
1,1,5.035018470202996,35.46950383419468,15.335573828495031,1.3142668738830223,0.8555555555555556,24.830849157650547
2,1,5.069469038066046,35.46861178619539,15.266406051571332,1.3563776721286862,0.8666666666666667,23.997076896630613
3,1,5.378348334668309,36.33743447268446,15.08546715405661,1.7740185733755993,0.8444444444444444,23.914498467243774
4,1,6.069177212961684,38.606972947681506,14.956696355687852,2.6274897083982305,0.8111111111111112,19.632505306582654
5,1,5.112658401522501,35.576737707277196,15.196211591153489,1.4466233601752578,0.8444444444444444,24.292761853416913
6,1,5.071450639352476,35.39038739807467,15.080869756098954,1.4762159619589224,0.8000000000000002,23.277432851798736
7,1,4.920987381457111,34.91617027628001,15.151322324695125,1.2637678015558467,0.8222222222222223,24.415294354999173
8,1,5.277579297380545,36.18040393089183,15.105167110379375,1.7307639774517674,0.7777777777777778,24.164896411121475
9,1,4.970264391413121,35.001638466614686,15.149567906649441,1.2823156992534164,0.8555555555555556,23.914498467243774
10,1,5.716172680159912,37.33041974795038,14.943839517019201,2.203135793526213,0.8333333333333334,22.196240813082305
11,1,5.0158778246626055,35.447042087435655,15.327455826659342,1.319599033594545,0.8333333333333336,24.45436596147474
12,1,6.271476781489974,39.304356179574754,14.860282520379988,2.9427451944197416,0.7555555555555556,19.715083735969493
13,1,5.0335644031703755,35.33224440327004,15.25605898953944,1.3178199191748305,0.8666666666666667,24.272493710412476
14,1,4.9917972402830335,35.182125321066714,15.108755086154497,1.3919087532896086,0.788888888888889,24.164896411121475
15,1,5.153937362103274,35.61675011322643,15.039094264091666,1.5795205283477005,0.8,23.997076896630613
16,1,5.059003857135684,35.46020196514081,15.287020321184475,1.3398315520350659,0.8666666666666667,24.33005326989515
17,1,4.7814702046783335,34.43492714373157,15.046594734757882,1.191690335849713,0.7666666666666668,23.730853655462994
