ep,feasible,reward,J_norm,J_raw,mean_surplus,var_surplus,cohesion_pen,min_pressure,baseline,entropy,best_J_norm_so_far,elapsed_s
2350,1,-5.601610640179871,5.601610640179871,36.538784566532705,14.338369651472652,2.3984595323069127,0.6666666666666669,23.664100523366077,-4.832675499248922,13.232442855834961,3.7101571237095827,0.08758009999999672
2400,1,-5.601610640179871,5.601610640179871,36.538784566532705,14.338369651472652,2.3984595323069127,0.6666666666666669,23.664100523366077,-5.588321034011663,14.503270149230957,3.7101571237095827,0.0929849000000047
2450,1,-3.973764577547959,3.973764577547959,30.33280095604691,13.446822770702283,0.998236990065967,0.4444444444444443,23.664100523366077,-4.660803747040087,2.403090715408325,3.7101571237095827,0.09473589999998921
2500,1,-4.116227406947841,4.116227406947841,30.884113866043947,13.536076286874751,1.1150982085425931,0.46666666666666656,23.664100523366077,-4.560687937713656,1.2001289129257202,3.7101571237095827,0.0972923999999864
2550,1,-4.116227406947841,4.116227406947841,30.884113866043947,13.536076286874751,1.1150982085425931,0.46666666666666656,23.664100523366077,-4.516923488906189,1.2611514329910278,3.7101571237095827,0.09982550000000856
2600,1,-3.9261296314563157,3.9261296314563157,30.236873594711888,13.497184149066161,0.9326869507117072,0.4444444444444443,23.664100523366077,-4.254196493314698,1.1945722103118896,3.7101571237095827,0.09087610000000268
2650,1,-4.404964544532085,4.404964544532085,32.06645345291348,13.704151194995932,1.3934577617146127,0.47777777777777763,23.664100523366077,-4.673658336204196,2.00053334236145,3.7101571237095827,0.08385959999998249
2700,1,-5.188393164822088,5.188393164822088,35.23249273338888,14.296253187194033,2.0133287863336045,0.5999999999999998,23.746678952752916,-4.820945538528289,1.7665188312530518,3.7101571237095827,0.08666379999999663
2750,1,-5.834271195581881,5.834271195581881,37.34234708184564,14.122371822215124,2.851052997656981,0.5444444444444444,21.038685751412064,-5.1080385684594,1.0471830368041992,3.7101571237095827,0.09869090000000824
2800,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575869,0.3333333333333334,23.664100523366077,-4.521518532836623,1.2844116687774658,3.7101571237095827,0.08843400000000656
2850,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575869,0.3333333333333334,23.664100523366077,-3.798010739909563,0.768945038318634,3.7101571237095827,0.0881870000000049
2900,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575869,0.3333333333333334,23.664100523366077,-3.7942819433840724,0.9740610122680664,3.7101571237095827,0.08623499999998785
2950,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.0876657045893365,6.949734210968018,3.7101571237095827,0.09508149999999205
3000,1,-4.648027575914282,4.648027575914282,33.03575147834061,13.788743992858706,1.6638656086521764,0.46666666666666673,21.94850552492179,-4.159230760952451,15.040434837341309,3.7101571237095827,0.09527639999998883
3050,1,-4.509524424816056,4.509524424816056,32.820802915211885,14.084616516593343,1.3764492199343248,0.5222222222222223,23.746678952752916,-4.146583144760541,16.383268356323242,3.7101571237095827,0.09393900000003441
3100,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.128798384627809,3.6816062927246094,3.7101571237095827,0.08997809999999618
3150,1,-4.617524347174919,4.617524347174919,32.90424590641156,13.828873620563394,1.5821662217615895,0.5,23.664100523366077,-4.174095882158964,7.260098457336426,3.7101571237095827,0.08807299999995166
3200,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.104743925391662,1.0760048627853394,3.7101571237095827,0.08223709999998619
3250,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.0690488147121275,0.7679849863052368,3.7101571237095827,0.10205990000002885
3300,1,-4.171297630815874,4.171297630815874,31.268648349333645,13.603224897785488,1.2133254438468162,0.4222222222222222,23.563034140972132,-4.44840610772945,5.18959379196167,3.7101571237095827,0.08783720000002404
3350,1,-4.468800384453461,4.468800384453461,32.6212712751721,13.917607065659446,1.4435005294325498,0.45555555555555566,23.480455711585293,-4.118656586416676,7.932942867279053,3.7101571237095827,0.09915619999998171
3400,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.002926011150593,0.7655367851257324,3.7101571237095827,0.09303399999998874
3450,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-3.957921037059321,0.6953142881393433,3.7101571237095827,0.10751989999999978
3500,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.09310596378813,0.695068359375,3.7101571237095827,0.08604180000003225
3550,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.429969940058382,2.2233469486236572,3.7101571237095827,0.09055810000000974
3600,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.179293008466054,1.1570713520050049,3.7101571237095827,0.09898280000004434
3650,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.204701381665875,2.366088628768921,3.7101571237095827,0.09231550000004063
3700,1,-4.775761565136162,4.775761565136162,33.33747322410005,13.808694158076916,1.7289171915376298,0.5333333333333332,23.664100523366077,-4.368871448079286,0.0719466432929039,3.7101571237095827,0.09811039999999593
3750,1,-3.794262626449848,3.794262626449848,29.981861871059802,13.442137164376854,0.9214180696575868,0.3333333333333334,23.664100523366077,-4.242602356856176,0.14389148354530334,3.7101571237095827,0.09940000000000282
3800,1,-4.340021142201521,4.340021142201521,31.79159141153095,13.664168193165548,1.3284924158073588,0.47777777777777775,23.664100523366077,-4.168321896849676,0.3103524446487427,3.7101571237095827,0.08525570000000471
3850,1,-4.0532795691292804,4.0532795691292804,30.797235563725245,13.592221211292415,1.0561162322319908,0.4444444444444444,23.664100523366077,-4.016944638582882,0.3103506565093994,3.7101571237095827,0.10587970000000269
